,data,open,high,low,close,volume,marketCap,circulatingSupply,mês,ano,var%
46,2021-03-01,45159.50305253,61683.86401412,45115.09311478,58918.83271375,1681184264685.0,1100016786762.0,18670037,3,2021,30.46829289776507
47,2021-02-01,33114.57724298,58330.57214185,32384.22810648,45137.77046805,2267152936673.0,841428977514.0,18641350,2,2021,36.307856618096544
48,2021-01-01,28994.00891641,41946.73935079,28722.75527058,33114.35774753,2153473433573.0,616452744533.0,18615875,1,2021,14.211035262488192
49,2020-12-01,19633.77044727,29244.87668786,17619.53238938,29001.71982218,1212259707945.0,539051138107.0,18586868,12,2020,47.71345065925723
50,2020-11-01,13780.99480514,19749.26369425,13243.159866,19625.83502949,1140873393626.0,364229729425.0,18558687,11,2020,42.412324414852876
51,2020-10-01,10795.25474253,14028.21429317,10416.68920469,13780.99470249,1050874546084.0,255372071116.0,18530743,10,2020,27.657892575680478
52,2020-09-01,10802.03547482,12059.87014159,9901.90575533,10784.49157795,1174781695423.0,199556965503.0,18504068,9,2020,-0.16241287959936068
53,2020-08-01,11382.78588591,13149.69444935,104.61895563,10804.94121976,554052349456.0,199630473235.0,18476243,8,2020,-5.076478394144934
54,2020-07-01,9145.98505502,11415.8638958,8977.01563525,11323.4664207,23160469766.0,208895308529.0,18448000,7,2020,23.808057334237986
55,2020-06-01,9463.6056622,10199.5649719,8975.52585473,9137.99340026,15735797743.0,168315606321.0,18419318,6,2020,-3.440678675365516
56,2020-05-01,8672.7819143,9996.74335304,8374.32297508,9461.05891806,27773290298.0,173997151929.0,18390875,5,2020,9.089090577272096
57,2020-04-01,6437.31921486,9440.65067326,6202.37351173,8658.55417975,66964629541.0,158922133909.0,18354350,4,2020,34.50558983874015
58,2020-03-01,8599.7583441,9167.69579623,4106.98075029,6438.64476637,32786468812.0,117814077266.0,18297962,3,2020,-25.129933787182136
59,2020-02-01,9346.35762761,10457.6271997,8492.93215312,8599.50861972,35792392544.0,156895988083.0,18244762,2,2020,-7.990802809468134
60,2020-01-01,7194.89197053,9553.12613251,6914.99590793,9350.52936518,29432489719.0,170112778161.0,18192850,1,2020,29.96066380814899
61,2019-12-01,7571.61619421,7743.43172474,6540.04927709,7193.59897843,21167946112.0,130446112598.0,18133637,12,2019,-4.992556491031186
62,2019-11-01,9193.99198943,9505.05167619,6617.1670508,7569.63012202,17158194786.0,136829391048.0,18076100,11,2019,-17.66764501510846
63,2019-10-01,8299.72110496,10021.743983,7446.98855091,9199.58483269,26583653946.0,165804227834.0,18023012,10,2019,10.842095973468702
64,2019-09-01,9630.59319616,10898.7621803,7830.75876126,8293.86774062,17115474183.0,149011567415.0,17966475,9,2019,-13.879990861549329
65,2019-08-01,10077.442592,12273.8213783,9421.63015965,9630.66384768,11454806419.0,172470743516.0,17908500,8,2019,-4.433453629144724
66,2019-07-01,10796.9306183,13129.5289339,9163.13464449,10085.6277491,16631520647.0,180028959602.0,17850050,7,2019,-6.588010003457789
67,2019-06-01,8573.83972489,13796.4890807,7564.48860353,10817.1555981,27256473494.0,192442065810.0,17790450,6,2019,26.164658370013804
68,2019-05-01,5350.91450555,9008.31456846,5347.6461061,8574.50164907,25365190957.0,152059886413.0,17733962,5,2019,60.24366751097361
69,2019-04-01,4105.36242087,5642.04459312,4096.90125463,5350.72669668,13878964573.0,94573826827.0,17674950,4,2019,30.33506297712163
70,2019-03-01,3853.75713203,4296.8066502,3733.74966077,4105.40429618,9045122442.0,72339379035.0,17620525,3,2019,6.529917572087429
71,2019-02-01,3460.54712403,4210.64175454,3391.02375248,3854.78528208,8399767798.0,67704774107.0,17563825,2,2019,11.39236496195688
72,2019-01-01,3746.71338747,4109.02106516,3400.81972619,3457.79274724,5831198270.0,60553903927.0,17512300,1,2019,-7.7113088285916565
73,2018-12-01,4024.46424203,4309.37731216,3191.30356157,3742.70033544,4661840806.0,65331499157.0,17455712,12,2018,-7.001277428368313
74,2018-11-01,6318.14,6552.16,3585.06,4017.26845712,6048016716.0,69904637061.0,17401037,11,2018,-36.416912934502875
75,2018-10-01,6619.85,6965.06,6236.47,6317.61,4191240000.0,109627117226.0,17352625,10,2018,-4.565662363950851
76,2018-09-01,7044.81,7388.43,6197.52,6625.56,4002280000.0,114608519470.0,17297937,9,2018,-5.951189599151718
77,2018-08-01,7769.04,7769.04,5971.05,7037.58,4495650000.0,121346613238.0,17242662,8,2018,-9.41506286490995
78,2018-07-01,6411.6801757813,8424.26953125,6136.419921875,7780.44,5287530000.0,133688476220.0,17182637,7,2018,21.347911728175184
79,2018-06-01,7500.7001953125,7754.8901367188,5826.41015625,6404.0,4543860224.0,109665618200.0,17124550,6,2018,-14.621304235008271
80,2018-05-01,9251.4697265625,9964.5,7090.6801757813,7494.169921875,5127130112.0,127902999390.0,17067000,5,2018,-18.994817651967256
81,2018-04-01,7003.0600585938,9745.3203125,6526.8701171875,9240.5498046875,8673920000.0,157163847314.0,17008062,4,2018,31.950172172919842
82,2018-03-01,10385.0,11704.099609375,6683.9301757813,6973.5297851563,4553269760.0,118204645927.0,16950475,3,2018,-32.84997799560616
83,2018-02-01,10237.2998046875,11958.5,6048.259765625,10397.900390625,6936189952.0,175644310997.0,16892287,2,2018,1.5687787698076772
84,2018-01-01,14112.2001953125,17712.400390625,9402.2900390625,10221.099609375,8041160192.0,172099559942.0,16837675,1,2018,-27.572600530638493
85,2017-12-01,10198.599609375,20089.0,9694.650390625,14156.400390625,12136299520.0,237465823980.0,16774450,12,2017,38.80729642147944
86,2017-11-01,6440.9702148438,11517.400390625,5519.009765625,10233.599609375,8310689792.0,171020085600.0,16711625,11,2017,58.882889813567864
87,2017-10-01,4341.0498046875,6470.4301757813,4164.0498046875,6468.3999023438,2311379968.0,107743731291.0,16656937,10,2017,49.005429409245
88,2017-09-01,4701.759765625,4975.0400390625,2946.6201171875,4338.7099609375,1207449984.0,72008428789.0,16596737,9,2017,-7.721572831980716
89,2017-08-01,2871.3000488281,4736.0498046875,2668.5900878906,4703.3901367188,1944930048.0,77775374624.0,16536025,8,2017,63.80698835840768
90,2017-07-01,2492.6000976563,2916.1398925781,1843.0300292969,2875.3400878906,860574976.0,47388334773.0,16480950,7,2017,15.355049957439082
91,2017-06-01,2288.330078125,2999.9099121094,2212.9599609375,2480.8400878906,860273024.0,40735082695.0,16419875,6,2017,8.412685372878448
92,2017-05-01,1348.3000488281,2763.7099609375,1348.3000488281,2286.4099121094,1544829952.0,37414813240.0,16364000,5,2017,69.57723276036928
93,2017-04-01,1071.7099609375,1347.9100341797,1061.0899658203,1347.8900146484,413115008.0,21975104908.0,16303337,4,2017,25.770037022825278
94,2017-03-01,1180.0400390625,1280.3100585938,903.7130126953,1071.7900390625,447287008.0,17414322807.0,16247887,3,2017,-9.173417546577555
95,2017-02-01,970.9409790039,1200.3900146484,946.6909790039,1179.9699707031,184956000.0,19103684800.0,16189975,2,2017,21.52849619280106
